TimeGenerated [UTC],access_method,action,activity,activity_type,alert,alert_generated,alert_name,alert_type,app,computer_name,connection_type,destination_file_directory,destination_file_name,destination_file_path,device,device_id,device_name,device_sn,device_type,dlp_incident_id,dlp_profile,dlp_profile_name,dlp_rule,driver,event_recovered,executable_hash,executable_signed,file_origin,file_size,file_type,incident_id,justification,location,md5,os,os_details,os_user_name,pid,policy_action,policy_action_enforced,policy_name,policy_name_enforced,policy_version,port,printer_identifier,process_cert_subject,process_name,process_path,product_id,sha256,source_file_directory,source_file_name,sub_type,timestamp,type_s,unc_path,user,vendor_id,TenantId,Type,_ResourceId
"2/4/2025, 7:22:30 PM",Endpoint,,,Download,no,FALSE,hOUbLqarupycUtvT,endpoint,,CzBBlJIdyJsPnxHk,,/User/Lib/ABC,DWRQxtNdyrGyKUzh,/User/Local/Content/,BbgIlQRuapTNcRWM,KxFJqbVgSvJPifjW,,cXWjZOdmTJQmccVx,SanDisk,0,,FHyMuQTPIRKDbazy,SvXfZNqvMhCukIQS,,FALSE,omzkxwfctHtSLeoB,FALSE,,265,txt,0,,,KyMghyyNjkMCQUEl,windows,windows 10,HUdYQYWUoGPYIQhp,24765,block,No,rKMcGFruRGXlEiUp,Yes,v2,,,PXnOJVRPpaEoYNRR,qZsLdNSgmMQawBte,/Application/TestApp/Content/,mbBJahRdlRIgjSqT,,,,SUBTYPE_DEVICE_CONTROL,1713190980,endpoint,,KOdSWAxvliLsJsny,dWkFeVlwDcNODxqi,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsEndpoint_CL,
"2/4/2025, 7:22:30 PM",Endpoint,,,Download,no,FALSE,IzgyKXFFZMGetBvT,endpoint,,hOJWXYvtLeVWjppC,,/User/Lib/ABC,zGCvAyUzbxcWNhDW,/User/Local/Content/,OBEFmXUFjlzTnfkP,LaJbOIASXIeKogQa,,HQwqGqyPozTZFlMo,SanDisk,0,,jYFJFrVUjlnHFOVy,HyIHydMjNegagVXh,,FALSE,WobfrAgJNFcRRVsJ,FALSE,,265,doc,0,,,WJfdUuKozsEIfjQS,windows,windows 10,zQEgWbkZKXmngbkC,24765,block,No,EPPvyOQiGpbYTcpN,Yes,v2,,,XlXGYivIikiMtdYr,RcPsHEldsVVYwXOi,/Application/TestApp/Content/,ehMrUFsoyxlmnFPg,,,,SUBTYPE_DEVICE_CONTROL,1713190976,endpoint,,jhVnwjjGLzeQCOEP,AZhjvWmQySOwDKVt,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsEndpoint_CL,
"2/4/2025, 7:22:30 PM",Endpoint,,,Download,no,FALSE,QIglBzbtXYnkgXCk,endpoint,,xLaSnwlaxNzTNyfH,,/User/Lib/ABC,mXEGBwxEyzzRkYWR,/User/Local/Content/,uOSMQebwWalFOUym,BUqvEJFLSrtnuGRf,,kNIXAUAuUfUKGwYp,SanDisk,0,,pPkjzhOvXScYdUKJ,gmCCPQJpjWywFQMD,,FALSE,zcjRfjUDDoeNpNcz,TRUE,,265,doc,0,,,ePPtWGZTSFgbZNRL,windows,windows 10,ETJsZLIDyKbyfrjS,24765,block,No,VqLdhRbHLvYoeNoN,Yes,v2,,,EGjxvLzWufcYfgWM,cutvGlYPpmqCVmSt,/Application/TestApp/Content/,McjzasyuSkqVbNol,,,,SUBTYPE_DEVICE_CONTROL,1713190984,endpoint,,dqXLiIJvvlQDMzhY,tBKVhqEtRttqwMdZ,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsEndpoint_CL,
"2/4/2025, 7:22:30 PM",Endpoint,,,Download,no,FALSE,krLKFuArIIuFwYal,endpoint,,FWZsShHmQFJWEjtu,,/User/Lib/ABC,wjupxiYvyyfMXryz,/User/Local/Content/,dXnqaDaXggQwQhld,SdpvwCPxDwffaTrS,,EuMxpoIlYYjpBfjf,SanDisk,0,,hjsUAHQeBpDdftll,aFsoovmbjeUuvgCZ,,FALSE,UuGwIoWfsnYZWPbo,TRUE,,265,doc,0,,,GzuvSdoPFYcEjiKm,windows,windows 10,IJFcCFXoEcPPTaSk,24765,block,Yes,DNuznMlleVDDXINV,Yes,v2,,,RpLnWjuHWTcCNnBC,VXVgLMTGHGEilIqr,/Application/TestApp/Content/,cqUHlfeTwpwvBVwF,,,,SUBTYPE_DEVICE_CONTROL,1713190984,endpoint,,rdIrFkfcorOgqFVR,aWnjaRfYKhRXFEUq,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsEndpoint_CL,
"2/4/2025, 7:22:30 PM",Endpoint,,,Download,no,FALSE,WSolEpbYKFumYrBS,endpoint,,FWIbwuMPbAvJBEJV,,/User/Lib/ABC,ExMdjRyqaVASAsQZ,/User/Local/Content/,KRKvZeMEdLRgNnGW,LnsDMPiOVcBDbNWg,,HkkRYQNXPgbVvvDZ,SanDisk,0,,hAKEzwDNYTxaTZFE,jAYYGIpUMBbuayiA,,FALSE,SlVlvcdXecoAaRnq,TRUE,,265,txt,0,,,OlmGiCkGCwqvKyUH,windows,windows 10,rpssmhInOCjqwFzm,24765,block,No,mInevtgyRDVuodRW,Yes,v2,,,rqZzAHflwjakPshR,qfTOvicEcFfteCSm,/Application/TestApp/Content/,guuYCGAZWZVybviK,,,,SUBTYPE_DEVICE_CONTROL,1713190983,endpoint,,gaoWocxWzgvMUPBk,qexvOEIusIqmqhOx,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsEndpoint_CL,
"2/4/2025, 7:22:30 PM",Endpoint,,,Download,no,FALSE,gTjBYRlrquWkGYAS,endpoint,,uOnxDohatrRSqytc,,/User/Lib/ABC,jgZIjfppxbabeAtP,/User/Local/Content/,tUiMRxqPjdVkGtnW,iLbpvbbKaFvVIZAs,,WMwHATgaaLuuFiwW,SanDisk,0,,LsxdFDFzWGlIRHFz,eZuwTyVGkdEaVpHY,,FALSE,zhffUtZdwCcRFBhX,FALSE,,265,txt,0,,,InjOOBTIEorWUqMi,windows,windows 10,pbBrULwsYuuAhfpQ,24765,block,No,RdhgYswuFfCbVQVC,No,v2,,,lVZWvOjrDbLeJlNO,lssBXeumiiabzfTZ,/Application/TestApp/Content/,YenOdMouNiTizJjS,,,,SUBTYPE_DEVICE_CONTROL,1713190981,endpoint,,yaVhJLzKnBFTShug,ncZclEyYBcAYLzra,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsEndpoint_CL,
"2/4/2025, 7:22:30 PM",Endpoint,,,Download,no,FALSE,QXJXsZJKwwtzQTIh,endpoint,,fhBATvQKMLYHnxOB,,/User/Lib/ABC,ZWMWjeLhngBcnhYi,/User/Local/Content/,JByIWeTdGscqQPZf,XhAkUSxiCpsjPwVP,,bCCmFLXqbTvTrPEy,SanDisk,0,,jLemUUHlRWFgAitu,RUryVyrKINhQoAsy,,FALSE,AXOKZvUSebQErSnI,FALSE,,265,doc,0,,,drsHGUYmtYUWkQxH,windows,windows 10,ElPrblBfBeUeCiGJ,24765,block,Yes,sIkdUTnIRXqDvaZG,No,v2,,,LRRreIapWPykoVLf,CthcTfFMVjbepxJK,/Application/TestApp/Content/,VUnupTsdlyVzPXsS,,,,SUBTYPE_DEVICE_CONTROL,1713190978,endpoint,,oShEfnlHaOGmxYFu,LNGZshJPYXhwFFCX,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsEndpoint_CL,
"2/4/2025, 7:22:30 PM",Endpoint,,,Download,no,FALSE,liMcGgWSPtYzzFEb,endpoint,,UVtuERIxitZSQQOm,,/User/Lib/ABC,elbVTPTIHvhoBHNq,/User/Local/Content/,ltrePXrUiSvZNedx,HKZxQZZzRUnGvgMj,,XRIjKDGqtTQsNLdj,SanDisk,0,,ESPYznxoXJOGMeJb,tTnUpqzFNZvFixVK,,FALSE,fzcrdxMntNayQGyx,FALSE,,265,txt,0,,,aBiWWBWEadDaAagt,windows,windows 10,BGZiZoUYLAjHdBlA,24765,block,Yes,YbfHcLQJoIruhWHX,Yes,v2,,,heedJdQBQEEdiwmt,TrcEyeZRMEJpGWeR,/Application/TestApp/Content/,aLwAjQnqlHpRTLRS,,,,SUBTYPE_DEVICE_CONTROL,1713190983,endpoint,,IlcLxGKHjnOrNpGq,MohhmqGrhozZjlBk,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsEndpoint_CL,
"2/4/2025, 7:22:30 PM",Endpoint,,,Download,no,FALSE,PVkHvCYPeGveVFdN,endpoint,,SXszMFnQNSMxWKoA,,/User/Lib/ABC,viddMeReZvDlfiKx,/User/Local/Content/,TVtKudoQLJopHwlO,krMELMFolpEqFzPC,,RxvzutDsMrJuUqAD,SanDisk,0,,qhmkVeZXSklpyOiS,ufgbeFDQzFIwBbQs,,FALSE,gTggeUgvTCGlFWqP,TRUE,,265,doc,0,,,wKFPIpBLySAqalzi,windows,windows 10,mSULIlzQfPfphPJt,24765,block,No,ymFfXMgbqFBYktto,Yes,v2,,,tabyoVKAlRBuSJse,rmGvatHQtmrWIlVs,/Application/TestApp/Content/,bEQhapgiMntKQMnW,,,,SUBTYPE_DEVICE_CONTROL,1713190983,endpoint,,wGztUxnRbxralMbK,EBgNDLiZPfaVOcIa,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsEndpoint_CL,
"2/4/2025, 7:22:30 PM",Endpoint,,,Download,no,FALSE,QbXqkkzsxmjMxMED,endpoint,,QYmvloCNLPXsIRnT,,/User/Lib/ABC,RoqkKNgRWSBESiKF,/User/Local/Content/,mqFGIyqOKKPOsvFD,pGMZctvLDjzQcaWs,,nfVMiXkDELzfLkqU,SanDisk,0,,OCVkmiYilpbEwUyM,dZgPSywSsWohjgws,,FALSE,FhUIZjkGJitBbcLw,FALSE,,265,doc,0,,,ilrpgHkafwibVwWe,windows,windows 10,KMvRKmFUOAvKXxAa,24765,block,No,ijpuyQUFTYUBQANS,Yes,v2,,,FyiFccxxPxuybKCj,FOLGUPCOHVBlGPSY,/Application/TestApp/Content/,MtrKIhvuitLyaCxY,,,,SUBTYPE_DEVICE_CONTROL,1713190983,endpoint,,OZWZgLZwPlNqJvBV,JImTvCYyETTXhqWG,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsEndpoint_CL,
