app_id,risk_tier,corporate_origin
chatgpt,Medium,Major Commercial AI
google-gemini,Medium,Major Commercial AI
claude,Medium,Major Commercial AI
anthropic,Medium,Major Commercial AI
openai,Medium,Major Commercial AI
cursor,Unknown,Other AI
ollama,Unknown,Other AI
github,Unknown,Other AI
grok,Unknown,Other AI
huggingface,Unknown,Other AI
perplexity,Unknown,Other AI
sora,Unknown,Other AI
moonshot,High,Chinese AI Providers
zhipu-ai,High,Chinese AI Providers
alibaba-qwen,High,Chinese AI Providers
baidu-ernie,High,Chinese AI Providers
bytedance-doubao,High,Chinese AI Providers
minimax,High,Chinese AI Providers
01ai-yi,High,Chinese AI Providers
sensetime,High,Chinese AI Providers
iflytek-spark,High,Chinese AI Providers
baichuan-ai,High,Chinese AI Providers
stepfun,High,Chinese AI Providers
openrouter,High,AI Proxy/Aggregators
litellm,High,AI Proxy/Aggregators
braintrust,High,AI Proxy/Aggregators
portkey,High,AI Proxy/Aggregators
helicone,High,AI Proxy/Aggregators
github-copilot,Medium,AI Coding Assistants
codeium,Medium,AI Coding Assistants
tabnine,Medium,AI Coding Assistants
sourcegraph-cody,Medium,AI Coding Assistants
amazon-q,Medium,AI Coding Assistants
mistral,Medium,Commercial LLM APIs
cohere,Medium,Commercial LLM APIs
deepseek,Medium,Commercial LLM APIs
groq,Medium,Commercial LLM APIs
together-ai,Medium,Commercial LLM APIs
fireworks-ai,Medium,Commercial LLM APIs
replicate,Medium,Commercial LLM APIs
ai21,Medium,Commercial LLM APIs
inflection-pi,Medium,Commercial LLM APIs
lepton-ai,Medium,Commercial LLM APIs
octoai,Medium,Commercial LLM APIs
meta-ai,Medium,Commercial LLM APIs
deepl,Medium,Commercial LLM APIs
forefront-ai,Medium,Commercial LLM APIs
adept-ai,Medium,Commercial LLM APIs
otter-ai,Low,Meeting/Productivity
fireflies-ai,Low,Meeting/Productivity
notion-ai,Low,Meeting/Productivity
krisp,Low,Meeting/Productivity
tldv,Low,Meeting/Productivity
fathom,Low,Meeting/Productivity
read-ai,Low,Meeting/Productivity
mem-ai,Low,Meeting/Productivity
crewai,Medium,AI Agents
zapier-ai,Medium,AI Agents
midjourney,Medium,AI Image/Video/Audio
stability-ai,Medium,AI Image/Video/Audio
runwayml,Medium,AI Image/Video/Audio
elevenlabs,Medium,AI Image/Video/Audio
pika,Medium,AI Image/Video/Audio
synthesia,Medium,AI Image/Video/Audio
suno,Medium,AI Image/Video/Audio
udio,Medium,AI Image/Video/Audio
microsoft-copilot,Low,AI Search/Assistants
you-ai,Low,AI Search/Assistants
phind,Low,AI Search/Assistants
character-ai,Low,AI Search/Assistants
kagi,Low,AI Search/Assistants
nvidia-ngc,Low,Model Hubs
gpt4all,Low,Model Hubs
langsmith,Medium,ML Platforms/Vector DBs
pinecone,Medium,ML Platforms/Vector DBs
chroma,Medium,ML Platforms/Vector DBs
wandb,Medium,ML Platforms/Vector DBs
baseten,Medium,ML Platforms/Vector DBs
modal,Medium,ML Platforms/Vector DBs
weaviate,Medium,ML Platforms/Vector DBs
scale-ai,Low,Enterprise AI
datarobot,Low,Enterprise AI
adobe-firefly,Low,Enterprise AI
poe,Low,Enterprise AI
leonardo-ai,Low,Enterprise AI
lakera,Low,AI Security/Guardrails
arthur-ai,Low,AI Security/Guardrails
