legacy_id,is_published,marketplace_url,last_checked
1password1617200969773.azure-sentinel-solution-1password,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/1password1617200969773.azure-sentinel-solution-1password,2026-01-13
391c3d87-edc8-4f72-a719-825c022b8eb4.azure-sentinel-solution-obsidian-activity-threat,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/391c3d87-edc8-4f72-a719-825c022b8eb4.azure-sentinel-solution-obsidian-activity-threat,2026-01-13
4043.microsoft-sentinel-solution-phosphorus,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/4043.microsoft-sentinel-solution-phosphorus,2026-01-13
42crunch1580391915541.42crunch_sentinel_solution,false,,2026-01-13
8bit-solutions-llc.bitwarden-sentinel-integration,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/8bit-solutions-llc.bitwarden-sentinel-integration,2026-01-13
Red Canary.microsoft-sentinel-solution-RedCanary,true,,2026-01-13
SecurityScorecard.SecurityScorecard,false,,2026-01-13
abnormalsecuritycorporation1593011233180.fe1b4806-215b-4610-bf95-965a7a65579c,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/abnormalsecuritycorporation1593011233180.fe1b4806-215b-4610-bf95-965a7a65579c,2026-01-13
acronisinternationalgmbh.azure-sentinel-solution-acronis-cyber-protect,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/acronisinternationalgmbh.azure-sentinel-solution-acronis-cyber-protect,2026-01-13
agari.Agari_MSS,false,,2026-01-13
almavivaspa1636563933762.joshua-cyberiskvision,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/almavivaspa1636563933762.joshua-cyberiskvision,2026-01-13
alsid1603447574634.Alsid_For_AD_MSS,false,,2026-01-13
anvilogic1725900018831.azure-sentinel-solution-anvilogic,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/anvilogic1725900018831.azure-sentinel-solution-anvilogic,2026-01-13
argoscloudsecurity1605618416175.argos-sentinel,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/argoscloudsecurity1605618416175.argos-sentinel,2026-01-13
arista-networks.awake-security,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/arista-networks.awake-security,2026-01-13
armisinc1668090987837.armis-solution,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/armisinc1668090987837.armis-solution,2026-01-13
armorblox1601081599926.armorblox_sentinel_1,false,,2026-01-13
authomize.azure-sentinel-solution-authomize,false,,2026-01-13
azurehoundenterprise.bloodhoundenterprise-azuresentinel,false,,2026-01-13
azuresentinel.azure-sentinel-pingone,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-pingone,2026-01-13
azuresentinel.azure-sentinel-qualysvm,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-qualysvm,2026-01-13
azuresentinel.azure-sentinel-solution-DEV-0537DetectionandHunting,false,,2026-01-13
azuresentinel.azure-sentinel-solution-abuseipdb,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-abuseipdb,2026-01-13
azuresentinel.azure-sentinel-solution-akamai,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-akamai,2026-01-13
azuresentinel.azure-sentinel-solution-alibabacloud,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-alibabacloud,2026-01-13
azuresentinel.azure-sentinel-solution-alibabacloud-actiontrail,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-alibabacloud-actiontrail,2026-01-13
azuresentinel.azure-sentinel-solution-amazonwebservices,true,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-amazonwebservices,2026-01-13
