RecommendationDisplayName,Capability,Family
Azure Backup should be enabled for Virtual Machines,Backup & Recovery,Universal Security Capabilities
Geo-redundant backup should be enabled for Azure Database for MariaDB,Backup & Recovery,Universal Security Capabilities
Geo-redundant backup should be enabled for Azure Database for MySQL,Backup & Recovery,Universal Security Capabilities
Geo-redundant backup should be enabled for Azure Database for PostgreSQL,Backup & Recovery,Universal Security Capabilities
Azure Backup should be enabled for Virtual Machines,Backup & Recovery,Universal Security Capabilities
Key vaults should have purge protection enabled,Backup & Recovery,Universal Security Capabilities
Key vaults should have soft delete enabled,Backup & Recovery,Universal Security Capabilities
Geo-redundant storage should be enabled for Storage Accounts,Backup & Recovery,Universal Security Capabilities
Long-term geo-redundant backup should be enabled for Azure SQL Databases,Backup & Recovery,Universal Security Capabilities
Azure Recovery Services vaults should use customer-managed keys for encrypting backup data,Backup & Recovery,Universal Security Capabilities
Network traffic data collection agent should be installed on Linux virtual machines,Central Log Management & Analysis,Universal Security Capabilities
Network traffic data collection agent should be installed on Windows virtual machines,Central Log Management & Analysis,Universal Security Capabilities
Network Watcher should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Auditing on SQL server should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Diagnostic logs in App Services should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in Azure Data Lake Store should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in Azure Stream Analytics should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in Batch accounts should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in Data Lake Analytics should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in Event Hub should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in IoT Hub should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in Key Vault should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in Logic Apps should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in Search services should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in Service Bus should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Resource logs in Virtual Machine Scale Sets should be enabled,Central Log Management & Analysis,Universal Security Capabilities
Auto provisioning of the Log Analytics agent should be enabled on your subscription,Central Log Management & Analysis,Universal Security Capabilities
Azure Kubernetes Service clusters should have Azure Defender profile enabled,Central Log Management & Analysis,Universal Security Capabilities
Guest Configuration extension should be installed on your machines,Central Log Management & Analysis,Universal Security Capabilities
Log Analytics agent health issues should be resolved on your machines,Central Log Management & Analysis,Universal Security Capabilities
Log Analytics agent should be installed on your Linux Azure Arc machines,Central Log Management & Analysis,Universal Security Capabilities
Log Analytics agent should be installed on your virtual machine for Azure Security Center monitoring,Central Log Management & Analysis,Universal Security Capabilities
Log Analytics agent should be installed on your virtual machine scale sets for Azure Security Center monitoring,Central Log Management & Analysis,Universal Security Capabilities
Log Analytics agent should be installed on your Windows Azure Arc machines,Central Log Management & Analysis,Universal Security Capabilities
SQL servers with auditing to storage account destination should be configured with 90 days retention or higher,Central Log Management & Analysis,Universal Security Capabilities
CORS should not allow every resource to access your API App,Configuration Management,Universal Security Capabilities
CORS should not allow every resource to access your Function Apps,Configuration Management,Universal Security Capabilities
CORS should not allow every resource to access your Web Applications,Configuration Management,Universal Security Capabilities
Kubernetes cluster containers CPU and memory resource limits should not exceed the specified limits,Configuration Management,Universal Security Capabilities
Kubernetes cluster containers should not share host process ID or host IPC namespace,Configuration Management,Universal Security Capabilities
Kubernetes cluster containers should only listen on allowed ports,Configuration Management,Universal Security Capabilities
Kubernetes cluster containers should only use allowed AppArmor profiles,Configuration Management,Universal Security Capabilities
Kubernetes cluster containers should only use allowed capabilities,Configuration Management,Universal Security Capabilities
Kubernetes cluster containers should only use allowed images,Configuration Management,Universal Security Capabilities
Kubernetes cluster containers should run with a read only root file system,Configuration Management,Universal Security Capabilities
Kubernetes cluster pod hostPath volumes should only use allowed host paths,Configuration Management,Universal Security Capabilities
Kubernetes cluster pods and containers should only run with approved user and group IDs,Configuration Management,Universal Security Capabilities
Kubernetes cluster pods should only use approved host network and port range,Configuration Management,Universal Security Capabilities
Kubernetes cluster services should listen only on allowed ports,Configuration Management,Universal Security Capabilities
Kubernetes cluster should not allow privileged containers,Configuration Management,Universal Security Capabilities
Kubernetes clusters should disable automounting API credentials,Configuration Management,Universal Security Capabilities
Kubernetes clusters should not allow container privilege escalation,Configuration Management,Universal Security Capabilities
Kubernetes clusters should not use the default namespace,Configuration Management,Universal Security Capabilities
