TenantId,SourceSystem,TimeGenerated [Local Time],ReceiptTime,DeviceVendor,DeviceProduct,DeviceEventClassID,LogSeverity,OriginalLogSeverity,DeviceAction,SimplifiedDeviceAction,Computer,CommunicationDirection,DeviceFacility,DestinationPort,DestinationIP,DeviceAddress,DeviceName,Message,Protocol,SourcePort,SourceIP,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,DeviceVersion,Activity,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,DeviceDnsDomain,DeviceExternalID,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceMacAddress,ProcessID,EndTime [Local Time],ExternalID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePermission,FileType,FileName,FileSize,ReceivedBytes,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,StartTime [Local Time],SourceUserID,EventType,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,Type
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/13/2022, 1:09:11.000 PM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10659,,0ad27dc6b692903c4e129b1ad75ee8188da4b9ce34c309fed34a25fe86fb176d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,svchost.exe,Initiated by,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Schedule,Initiator CMD,SIGNATURE_SIGNED-Microsoft Corporation,Signature,svchost.exe,CGO name,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Schedule,CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/5/2022, 3:54:35.000 PM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10417,,85a296f9f4b5f7a7c656a43585b1d8fdd9dff84528cc7832c42eba6488791301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,explorer.exe,Initiated by,C:\\WINDOWS\\Explorer.EXE,Initiator CMD,SIGNATURE_SIGNED-Microsoft Corporation,Signature,explorer.exe,CGO name,C:\\WINDOWS\\Explorer.EXE,CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/5/2022, 3:54:36.000 PM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10418,,79521a82ef42bae4c17f6a0ece83693592989ce511714dd9b0fb2b3d6b21b08a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,firefox.exe,Initiated by,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",Initiator CMD,SIGNATURE_SIGNED-Mozilla Corporation,Signature,firefox.exe,CGO name,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",CGO CMD,SIGNATURE_SIGNED-Mozilla Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/5/2022, 3:55:05.000 PM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10419,,79521a82ef42bae4c17f6a0ece83693592989ce511714dd9b0fb2b3d6b21b08a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,firefox.exe,Initiated by,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",Initiator CMD,SIGNATURE_SIGNED-Mozilla Corporation,Signature,firefox.exe,CGO name,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",CGO CMD,SIGNATURE_SIGNED-Mozilla Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/5/2022, 4:15:35.000 PM",,Palo Alto Networks,Cortex XDR,XDR IOC,9,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (Acrobat.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10420,,74293f4b08ee61524404d9c15412f0e3b2f1a55ed501c6bc361a2b2776d885e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acrobat_sl.exe,Initiated by,"""C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat\\Acrobat_sl.exe""",Initiator CMD,SIGNATURE_SIGNED-Adobe Inc.,Signature,AdobeARM.exe,CGO name,"""C:\\Program Files (x86)\\Common Files\\Adobe\\ARM\\1.0\\AdobeARM.exe""",CGO CMD,SIGNATURE_SIGNED-Adobe Inc.,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/5/2022, 4:35:05.000 PM",,Palo Alto Networks,Cortex XDR,XDR Agent,6,,Prevented (Blocked),Prevented (Blocked),cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,Execution From a Restricted Folder,,,,,,,,,,,,,,,,,,,,,,,,,,,10421,,9ED4E18F5114C03229035D6F4D03250425476AA8E7DD2271D689ADD5CD7AF9B9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fsquirt.exe,Initiated by,"""C:\\WINDOWS\\system32\\fsquirt.exe"" -send",Initiator CMD,SIGNATURE_SIGNED-Microsoft Corporation,Signature,explorer.exe,CGO name,C:\\WINDOWS\\Explorer.EXE,CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/5/2022, 4:56:36.000 PM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10425,,79521a82ef42bae4c17f6a0ece83693592989ce511714dd9b0fb2b3d6b21b08a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,firefox.exe,Initiated by,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",Initiator CMD,SIGNATURE_SIGNED-Mozilla Corporation,Signature,firefox.exe,CGO name,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",CGO CMD,SIGNATURE_SIGNED-Mozilla Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/2/2022, 1:33:05.000 PM",,Palo Alto Networks,Cortex XDR,XDR Agent,6,,Prevented (Blocked),Prevented (Blocked),cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,Execution From a Restricted Folder,,,,,,,,,,,,,,,,,,,,,,,,,,,10252,,9ED4E18F5114C03229035D6F4D03250425476AA8E7DD2271D689ADD5CD7AF9B9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fsquirt.exe,Initiated by,"""C:\\WINDOWS\\system32\\fsquirt.exe"" -send",Initiator CMD,SIGNATURE_SIGNED-Microsoft Corporation,Signature,explorer.exe,CGO name,C:\\WINDOWS\\Explorer.EXE,CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/7/2022, 11:40:06.000 AM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10589,,79521a82ef42bae4c17f6a0ece83693592989ce511714dd9b0fb2b3d6b21b08a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,firefox.exe,Initiated by,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe""",Initiator CMD,SIGNATURE_SIGNED-Mozilla Corporation,Signature,firefox.exe,CGO name,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe""",CGO CMD,SIGNATURE_SIGNED-Mozilla Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/7/2022, 12:58:06.000 PM",,Palo Alto Networks,Cortex XDR,XDR IOC,9,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (Acrobat.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10593,,74293f4b08ee61524404d9c15412f0e3b2f1a55ed501c6bc361a2b2776d885e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acrobat_sl.exe,Initiated by,"""C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat\\Acrobat_sl.exe""",Initiator CMD,SIGNATURE_SIGNED-Adobe Inc.,Signature,AdobeARM.exe,CGO name,"""C:\\Program Files (x86)\\Common Files\\Adobe\\ARM\\1.0\\AdobeARM.exe""",CGO CMD,SIGNATURE_SIGNED-Adobe Inc.,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
