ASIMFieldName, ASIMFieldType, ProductFieldName, ProductFieldType, ProductFieldDescription, ProductSampleValue, Logic
ActingProcessCommandLine,string,,,,,direct mapping
ActingProcessCreationTime,datetime,,,,,direct mapping
ActingProcessFileCompany,string,,,,,direct mapping
ActingProcessFileDescription,string,,,,,direct mapping
ActingProcessFileInternalName,string,,,,,direct mapping
ActingProcessFilename,string,,,,,direct mapping
ActingProcessFileOriginalName,string,,,,,direct mapping
ActingProcessFileProduct,string,,,,,direct mapping
ActingProcessFileSize,long,,,,,direct mapping
ActingProcessFileVersion,string,,,,,direct mapping
ActingProcessGuid,string,,,,,direct mapping
ActingProcessId,string,,,,,direct mapping
ActingProcessIMPHASH,string,,,,,direct mapping
ActingProcessInjectedAddress,string,,,,,direct mapping
ActingProcessIntegrityLevel,string,,,,,direct mapping
ActingProcessIsHidden,bool,,,,,direct mapping
ActingProcessMD5,string,,,,,direct mapping
ActingProcessName,string,,,,,direct mapping
ActingProcessSHA1,string,,,,,direct mapping
ActingProcessSHA256,string,,,,,direct mapping
ActingProcessSHA512,string,,,,,direct mapping
ActingProcessTokenElevation,string,,,,,direct mapping
ActorOriginalUserType,string,,,,,direct mapping
ActorScope,string,,,,,direct mapping
ActorScopeId,string,,,,,direct mapping
ActorSessionId,string,,,,,direct mapping
ActorUserAadId,string,,,,,direct mapping
ActorUserId,string,,,,,direct mapping
ActorUserIdType,string,,,,,direct mapping
ActorUsername,string,,,,,direct mapping
ActorUsernameType,string,,,,,direct mapping
ActorUserSid,string,,,,,direct mapping
ActorUserType,string,,,,,direct mapping
ActorUserUpn,string,,,,,direct mapping
AdditionalFields,dynamic,,,,,direct mapping
CommandLine,string,,,,,direct mapping
Dvc,string,,,,,direct mapping
DvcAction,string,,,,,direct mapping
DvcDescription,string,,,,,direct mapping
DvcDomain,string,,,,,direct mapping
DvcDomainType,string,,,,,direct mapping
DvcFQDN,string,,,,,direct mapping
DvcHostname,string,,,,,direct mapping
DvcId,string,,,,,direct mapping
DvcIdType,string,,,,,direct mapping
DvcInterface,string,,,,,direct mapping
DvcIpAddr,string,,,,,direct mapping
DvcMacAddr,string,,,,,direct mapping
DvcOriginalAction,string,,,,,direct mapping
DvcOs,string,,,,,direct mapping
DvcOsVersion,string,,,,,direct mapping
DvcScope,string,,,,,direct mapping
DvcScopeId,string,,,,,direct mapping
DvcZone,string,,,,,direct mapping
EventCount,int,,,,,direct mapping
EventEndTime,datetime,,,,,direct mapping
EventMessage,string,,,,,direct mapping
EventOriginalResultDetails,string,,,,,direct mapping
EventOriginalSeverity,string,,,,,direct mapping
EventOriginalSubType,string,,,,,direct mapping
EventOriginalType,string,,,,,direct mapping
EventOriginalUid,string,,,,,direct mapping
EventOwner,string,,,,,direct mapping
EventProduct,string,,,,,direct mapping
EventProductVersion,string,,,,,direct mapping
EventReportUrl,string,,,,,direct mapping
EventResult,string,,,,,direct mapping
EventResultDetails,string,,,,,direct mapping
EventSchema,string,,,,,direct mapping
EventSchemaVersion,string,,,,,direct mapping
EventSeverity,string,,,,,direct mapping
EventStartTime,datetime,,,,,direct mapping
EventSubType,string,,,,,direct mapping
EventType,string,,,,,direct mapping
EventUid,string,,,,,direct mapping
EventVendor,string,,,,,direct mapping
Hash,string,,,,,direct mapping
HashType,string,,,,,direct mapping
ParentProcessCreationTime,datetime,,,,,direct mapping
ParentProcessFileCompany,string,,,,,direct mapping
ParentProcessFileDescription,string,,,,,direct mapping
ParentProcessFileProduct,string,,,,,direct mapping
ParentProcessFileVersion,string,,,,,direct mapping
ParentProcessGuid,string,,,,,direct mapping
ParentProcessId,string,,,,,direct mapping
ParentProcessIMPHASH,string,,,,,direct mapping
ParentProcessInjectedAddress,string,,,,,direct mapping
ParentProcessIntegrityLevel,string,,,,,direct mapping
ParentProcessIsHidden,bool,,,,,direct mapping
ParentProcessMD5,string,,,,,direct mapping
ParentProcessName,string,,,,,direct mapping
ParentProcessSHA1,string,,,,,direct mapping
ParentProcessSHA256,string,,,,,direct mapping
ParentProcessSHA512,string,,,,,direct mapping
ParentProcessTokenElevation,string,,,,,direct mapping
Process,string,,,,,direct mapping
RuleName,string,,,,,direct mapping
RuleNumber,int,,,,,direct mapping
TargetOriginalUserType,string,,,,,direct mapping
TargetProcessCommandLine,string,,,,,direct mapping
TargetProcessCreationTime,datetime,,,,,direct mapping
TargetProcessCurrentDirectory,string,,,,,direct mapping
TargetProcessFileCompany,string,,,,,direct mapping
TargetProcessFileDescription,string,,,,,direct mapping
TargetProcessFileInternalName,string,,,,,direct mapping
TargetProcessFilename,string,,,,,direct mapping
TargetProcessFileOriginalName,string,,,,,direct mapping
TargetProcessFileProduct,string,,,,,direct mapping
TargetProcessFileSize,long,,,,,direct mapping
TargetProcessFileVersion,string,,,,,direct mapping
TargetProcessGuid,string,,,,,direct mapping
TargetProcessId,string,,,,,direct mapping
TargetProcessIMPHASH,string,,,,,direct mapping
TargetProcessInjectedAddress,string,,,,,direct mapping
TargetProcessIntegrityLevel,string,,,,,direct mapping
TargetProcessIsHidden,bool,,,,,direct mapping
TargetProcessMD5,string,,,,,direct mapping
TargetProcessName,string,,,,,direct mapping
TargetProcessSHA1,string,,,,,direct mapping
TargetProcessSHA256,string,,,,,direct mapping
TargetProcessSHA512,string,,,,,direct mapping
TargetProcessStatusCode,string,,,,,direct mapping
TargetProcessTokenElevation,string,,,,,direct mapping
TargetScope,string,,,,,direct mapping
TargetScopeId,string,,,,,direct mapping
TargetUserAadId,string,,,,,direct mapping
TargetUserId,string,,,,,direct mapping
TargetUserIdType,string,,,,,direct mapping
TargetUsername,string,,,,,direct mapping
TargetUsernameType,string,,,,,direct mapping
TargetUserSessionGuid,string,,,,,direct mapping
TargetUserSessionId,string,,,,,direct mapping
TargetUserSid,string,,,,,direct mapping
TargetUserType,string,,,,,direct mapping
TargetUserUpn,string,,,,,direct mapping
ThreatCategory,string,,,,,direct mapping
ThreatConfidence,int,,,,,direct mapping
ThreatField,string,,,,,direct mapping
ThreatFirstReportedTime,datetime,,,,,direct mapping
ThreatId,string,,,,,direct mapping
ThreatIsActive,bool,,,,,direct mapping
ThreatLastReportedTime,datetime,,,,,direct mapping
ThreatName,string,,,,,direct mapping
ThreatOriginalConfidence,string,,,,,direct mapping
ThreatOriginalRiskLevel,string,,,,,direct mapping
ThreatRiskLevel,int,,,,,direct mapping
TimeGenerated,datetime,,,,,direct mapping
Type,string,,,,,direct mapping
User,string,,,,,direct mapping
