Activity	AdditionalExtensions	DeviceAction	DeviceCustomString1	DeviceCustomString1Label	DeviceCustomString2	DeviceCustomString2Label	DeviceEventClassID	DeviceVendor	LogSeverity	Message	SimplifiedDeviceAction	SourceHostName	SourceUserName	PersistenceTimestamp [UTC]	TimeGenerated [UTC]	TenantId	Type	_ResourceId
Application Control event	details_targetFileVersion=-1.-1.-1.-1;details_targetCommandLine='C:\Unreal Commander\Uncom.exe';details_alertType=application_control.application_start.report;details_profileVersion=1519389515;details_targetVersionCompanyName=some name;details_parentPath=c:\windows\explorer.exe;details_targetPath=c:\unreal commander\uncom.exe;details_targetCopyrightText=some copyright;details_targetFileDescription=some file description;details_clientTimestamp=1708003169000;details_targetSignatureSignerName=Anton Diesel;details_targetProductName=some product name;details_profileId=3862693;details_targetSha1=e13fce15c513387daadfc1138aa63d4778bd17c6;details_targetProductVersion=-1.-1.-1.-1;details_ruleId=123;details_ruleEvent=application_start;details_accountName=antkma-sep-company	reported					applicationControl.reported	WithSecure	1	Application Control reported application_start of "some product name" based on rule ""	reported	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.905 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Setting event	details_isRemoteChange=false;details_profileName=TA_TEST_2;details_newValue=false;details_restoreTimestamp=519951324900;details_alertType=product.setting.changed;details_profileId=910739;details_profileVersion=1628068587;details_hostIpAddress=10.61.40.100/22;details_oldValue=true;details_userName=ta_tujrstm7300\tadmin;details_clientTimestamp=1708003169000;details_settingName=windows.realtime_scanning.scanning_enabled;details_accountName=antkma-sep-company	reported					setting.reported	WithSecure	1	Real-time scanning was turned off	reported	NTBt3ZRBQ2i7F4d	ta_tujrstm7300\tadmin	2/15/2024, 1:19:35.905 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
DataGuard event	details_targetData=D:\aUoV1.exe;details_alertType=access_control.file.reported;details_filePath=C:\vouHj\blockedFile.exe;details_userName=alertsDevice\user;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	none					dataGuard.none	WithSecure	1	DataGuard reported access to "aUoV1.exe"	none	NTBt3ZRBQ2i7F4d	alertsDevice\user	2/15/2024, 1:19:35.908 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Network connection event	details_process=plink.exe;details_alertType=connection_control.connection.block;details_port=22;details_profileId=20453140;details_profileVersion=1591102700;details_ip=52.85.47.88;details_hostIpAddress=10.133.3.197/22;details_userName=DESKTOP-UCETTHQ\gtn-user;details_clientTimestamp=1708003169000;details_direction=out;details_accountName=antkma-sep-company	blocked					connectionControl.blocked	WithSecure	1	Network connection is blocked by Connection control. Blocked process: "plink.exe"	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-UCETTHQ\gtn-user	2/15/2024, 1:19:35.908 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Application Control event	details_profileName=kimean-tests;details_alertType=application_control.file_access.report;details_profileVersion=1598526877;details_parentPath=C:\Windows\System32\notepad.exe;details_targetPath=C:\Users\gtn-user\protected_document.txt;details_userName=LAZARUS\gtn-user;details_clientTimestamp=1708003169000;details_profileId=18191988;details_targetSha1=0a0a9f2a6772942557ab5355d76af442f8f65e01;details_hostIpAddress=10.133.2.189/22;details_ruleName=file access test;details_ruleId=6b324d95-80e5-4929-8970-4f75740adbb8;details_ruleEvent=file_access;details_accountName=antkma-sep-company	reported					applicationControl.reported	WithSecure	1	Application Control reported file_access of "C:\Users\gtn-user\protected_document.txt" based on rule "file access test"	reported	NTBt3ZRBQ2i7F4d	LAZARUS\gtn-user	2/15/2024, 1:19:35.909 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Firewall event	details_profileName=F-Secure open;details_process=C:\Program Files (x86)\Google\Chrome\Application\Chrome.exe;details_alertType=firewall.fs_rule_triggered.block;details_localPort=123;details_profileVersion=1559029891;details_ruleGroupName=F-Secure Firewall;details_remotePort=321;details_ipProtocol=IPv4;details_userName=DF\username;details_clientTimestamp=1708003169000;details_ruleDirection=inbound;details_localAddress=15.170.18.153;details_profileId=12765;details_hostIpAddress=192.168.79.128/24;details_ruleName=FS test rule name;details_layerName=FS test layer name;details_remoteAddress=15.170.0.0;details_accountName=antkma-sep-company	blocked					firewall.blocked	WithSecure	1	Connection from "15.170.0.0" was blocked	blocked	NTBt3ZRBQ2i7F4d	DF\username	2/15/2024, 1:19:35.909 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Network connection event	details_process=teamviewer.exe;details_alertType=connection_control.remote_access.block;details_profileId=901567;details_profileVersion=1498867200;details_hostIpAddress=192.168.220.128/24;details_userName=DESKTOP-V94MVCO\tikhdm;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked					connectionControl.blocked	WithSecure	1	Network connection is blocked by Connection control. Blocked process: "teamviewer.exe"	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-V94MVCO\tikhdm	2/15/2024, 1:19:35.909 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Network connection event	details_profileName=ext-radzma2-company-2-profile;details_path=\device\harddiskvolume1\program files (x86)\microsoft\edge\application\msedge.exe;details_process=msedge.exe;details_alertType=connection_control.page.block;details_profileId=20453148;details_profileVersion=1591102700;details_hostIpAddress=10.133.3.197/22;details_userName=DESKTOP-UCETTHQ\gtn-user;details_clientTimestamp=1708003169000;details_url=www.banking.com;details_accountName=antkma-sep-company	blocked					connectionControl.blocked	WithSecure	1	Network connection is blocked by Connection control. Blocked process: "msedge.exe"	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-UCETTHQ\gtn-user	2/15/2024, 1:19:35.909 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Integrity Checker event	details_path=/root/test_env/file.txt;details_alertType=integrity_protection.file_modified;details_action=allow;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	allow					integrityChecker.allow	WithSecure	1	Integrity checker event. Action taken: Allow	allow	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.910 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Antimalware Scan Interface (AMSI) event	details_profileName=tikhdm-tamper;details_sha1=1aef59dac1e2328b402d6fee5b5f76439ce98f43;details_path=C:\WINDOWS\system32\cscript.exe;details_alertType=amsi.infection.block;details_appName=JScript;details_profileId=19325830;details_profileVersion=1604055983;details_infectionName=Testfile:JS/F-Secure_testfile.D;details_hostIpAddress=fe80::e09a:970a:a01c:ca1a/64;details_userName=DESKTOP-V94MVCO\tikhdm;details_clientTimestamp=1708003169000;details_contentName=C:\Users\tikhdm\AppData\Local\Temp\infected.js;details_accountName=antkma-sep-company	blocked	C:\WINDOWS\system32\cscript.exe	Infected object	Testfile:JS/F-Secure_testfile.D	Malware	amsi.blocked	WithSecure	4	AMSI detected harmful content in "cscript.exe"	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-V94MVCO\tikhdm	2/15/2024, 1:19:35.926 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
