2022-05-18 11:50:50.361 event=audit-configuration-change; audit-enabled; success=true; user=senitized@senitized; roles=admin;
2022-05-18 11:53:25.880 event=user-role-addition; change=sql-execution,security,admin; to-user=dba; success=true; user=senitized@senitized; roles=admin;
2022-05-18 11:53:25.920 event=eval; expr=fn:collection("http://marklogic.com/xdmp/security"); database=Security; success=true; user=senitized@senitized; roles=admin;
2022-05-18 00:02:00.145 Info: Memory 12% phys=16384 size=10830(66%) rss=2123(12%) swap=1(0%) file=5(0%) forest=848(5%) cache=5120(31%) registry=1(0%)
2022-05-18 11:51:52.077 event=configuration-change; file=C:\Program Files\MarkLogic\Data\databases.xml; success=true; user=senitized@senitized; roles=admin;
2022-05-18 15:53:44.936 event=amp-usage; function=http://marklogic.com/welcome/util-amped:get-appserver-url; uri=/MarkLogic/welcome/util-amped.xqy; database=filesystem; success=true; user=dba; roles=sql-execution,security,admin;
2022-07-04 00:00:00.100 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918000/features.xml; database=Meters; success=true;
2022-07-04 00:00:00.103 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918000/usage.xml; database=Meters; success=true;
2022-07-04 00:00:01.105 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656914460/databases-hour.xml; database=Meters; success=true;
2022-07-04 00:00:01.123 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656831660/host-day.xml; database=Meters; success=true;
2022-07-04 00:00:01.127 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656914460/host-hour.xml; database=Meters; success=true;
2022-07-04 00:00:01.130 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656914460/forest-hour.xml; database=Meters; success=true;
2022-07-04 00:00:01.146 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656914460/server-hour.xml; database=Meters; success=true;
2022-07-04 00:00:01.150 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656831660/forest-day.xml; database=Meters; success=true;
2022-07-04 00:00:01.169 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918001/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:00:01.192 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656831660/databases-day.xml; database=Meters; success=true;
2022-07-04 00:00:01.214 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918001/server-raw.xml; database=Meters; success=true;
2022-07-04 00:00:01.218 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918001/host-raw.xml; database=Meters; success=true;
2022-07-04 00:00:01.221 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918001/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:00:01.239 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656831660/server-day.xml; database=Meters; success=true;
2022-07-04 00:01:00.203 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-hour.xml; database=Meters; success=true;
2022-07-04 00:01:00.222 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-day.xml; database=Meters; success=true;
2022-07-04 00:01:00.226 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-day.xml; database=Meters; success=true;
2022-07-04 00:01:00.241 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-day.xml; database=Meters; success=true;
2022-07-04 00:01:00.256 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-hour.xml; database=Meters; success=true;
2022-07-04 00:01:00.271 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-raw.xml; database=Meters; success=true;
2022-07-04 00:01:00.274 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:01:00.290 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-day.xml; database=Meters; success=true;
2022-07-04 00:01:00.294 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-hour.xml; database=Meters; success=true;
2022-07-04 00:01:00.298 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-raw.xml; database=Meters; success=true;
2022-07-04 00:01:00.301 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-hour.xml; database=Meters; success=true;
2022-07-04 00:01:00.304 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:02:00.231 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918120/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:02:00.249 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918120/host-raw.xml; database=Meters; success=true;
2022-07-04 00:02:00.252 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918120/server-raw.xml; database=Meters; success=true;
2022-07-04 00:02:00.255 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918120/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:03:00.221 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918180/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:03:00.241 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918180/host-raw.xml; database=Meters; success=true;
2022-07-04 00:03:00.244 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918180/server-raw.xml; database=Meters; success=true;
