OperationName,Level,ActivityStatus,ActivitySubstatus,ResourceGroup,SubscriptionId,CorrelationId,Caller,CallerIpAddress,Category,HTTPRequest,Properties,EventSubmissionTimestamp [UTC],Authorization,ResourceId,OperationId,ResourceProvider,Resource,EventDataId,TimeGenerated [UTC]
Update Incidents,Informational,Succeeded,OK (HTTP Status Code: 200),cxe-yanivsh,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,d31b683d-803d-4f56-a92b-1d9e5082372d,yanivsh@buildseccxpninja.onmicrosoft.com,175.45.176.99,Administrative,"{
  ""clientRequestId"": """",
  ""clientIpAddress"": ""52.232.188.154"",
  ""method"": ""PUT""
}","{
  ""statusCode"": ""OK"",
  ""serviceRequestId"": null,
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/357c7b0c-bdd8-4807-acf1-c68245bb29d3"",
  ""message"": ""Microsoft.SecurityInsights/incidents/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 7:18:24.156 PM","{
  ""action"": ""Microsoft.SecurityInsights/incidents/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/357c7b0c-bdd8-4807-acf1-c68245bb29d3""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/357c7b0c-bdd8-4807-acf1-c68245bb29d3,d31b683d-803d-4f56-a92b-1d9e5082372d,Microsoft.SecurityInsights,357c7b0c-bdd8-4807-acf1-c68245bb29d3,245f7f29-993c-40f8-a235-eb935eb71911,"4/26/2021, 7:17:58.447 PM"
Update Incidents,Informational,Started,,cxe-yanivsh,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,d31b683d-803d-4f56-a92b-1d9e5082372d,yanivsh@buildseccxpninja.onmicrosoft.com,52.232.188.154,Administrative,"{
  ""clientRequestId"": """",
  ""clientIpAddress"": ""52.232.188.154"",
  ""method"": ""PUT""
}","{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/357c7b0c-bdd8-4807-acf1-c68245bb29d3"",
  ""message"": ""Microsoft.SecurityInsights/incidents/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 7:18:24.156 PM","{
  ""action"": ""Microsoft.SecurityInsights/incidents/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/357c7b0c-bdd8-4807-acf1-c68245bb29d3""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/357c7b0c-bdd8-4807-acf1-c68245bb29d3,d31b683d-803d-4f56-a92b-1d9e5082372d,Microsoft.SecurityInsights,357c7b0c-bdd8-4807-acf1-c68245bb29d3,5ce9b826-1904-42c4-9b5f-269dcef94062,"4/26/2021, 7:17:58.252 PM"
Update Incidents,Informational,Succeeded,OK (HTTP Status Code: 200),cxe-yanivsh,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,4a0bae7f-0b61-4178-95f5-3c290bfd0a8a,yanivsh@buildseccxpninja.onmicrosoft.com,52.232.188.154,Administrative,"{
  ""clientRequestId"": """",
  ""clientIpAddress"": ""52.232.188.154"",
  ""method"": ""PUT""
}","{
  ""statusCode"": ""OK"",
  ""serviceRequestId"": null,
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/99f0cad4-e4a3-4e26-9139-9e265e928e1f"",
  ""message"": ""Microsoft.SecurityInsights/incidents/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 7:43:50.219 PM","{
  ""action"": ""Microsoft.SecurityInsights/incidents/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/99f0cad4-e4a3-4e26-9139-9e265e928e1f""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/99f0cad4-e4a3-4e26-9139-9e265e928e1f,4a0bae7f-0b61-4178-95f5-3c290bfd0a8a,Microsoft.SecurityInsights,99f0cad4-e4a3-4e26-9139-9e265e928e1f,2d14312c-4dff-4547-8e1d-ba380c7901cc,"4/26/2021, 7:42:57.624 PM"
Update Incidents,Informational,Started,,cxe-yanivsh,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,4a0bae7f-0b61-4178-95f5-3c290bfd0a8a,yanivsh@buildseccxpninja.onmicrosoft.com,52.232.188.154,Administrative,"{
  ""clientRequestId"": """",
  ""clientIpAddress"": ""52.232.188.154"",
  ""method"": ""PUT""
}","{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/99f0cad4-e4a3-4e26-9139-9e265e928e1f"",
  ""message"": ""Microsoft.SecurityInsights/incidents/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 7:43:50.219 PM","{
  ""action"": ""Microsoft.SecurityInsights/incidents/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/99f0cad4-e4a3-4e26-9139-9e265e928e1f""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/99f0cad4-e4a3-4e26-9139-9e265e928e1f,4a0bae7f-0b61-4178-95f5-3c290bfd0a8a,Microsoft.SecurityInsights,99f0cad4-e4a3-4e26-9139-9e265e928e1f,725f7a01-8b0b-450d-a332-29e7d420bcc4,"4/26/2021, 7:42:57.454 PM"
Creates or updates an Azure Firewall,Informational,Succeeded,,tobifwprem-rg,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,89f2d7af-86c4-4335-8164-4d942acf6567,olotolor@buildseccxpninja.onmicrosoft.com,,Administrative,,"{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/tobifwprem-rg/providers/Microsoft.Network/azureFirewalls/azfwSEA"",
  ""message"": ""Microsoft.Network/azureFirewalls/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 7:42:45.140 PM","{
  ""action"": ""Microsoft.Network/azureFirewalls/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/tobifwprem-rg/providers/Microsoft.Network/azureFirewalls/azfwSEA""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/tobifwprem-rg/providers/Microsoft.Network/azureFirewalls/azfwSEA,08f79624-7f63-41c4-ba85-319d384ad4a8,Microsoft.Network,azfwSEA,7721cbaf-8796-4b2f-916b-69d36e1cdc5b,"4/26/2021, 7:41:31.785 PM"
Generate Firewall Policy Certificates,Informational,Succeeded,OK (HTTP Status Code: 200),tobifwprem-rg,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,fc7257fe-6026-428e-91d4-e5228b7a1856,617965ff-6115-47bb-9331-5764c42a0013,52.149.24.100,Administrative,"{
  ""clientRequestId"": ""73f413fc-b7fd-40ad-b90a-e7bbe21d51db"",
  ""clientIpAddress"": ""52.149.24.100"",
  ""method"": ""POST""
}","{
  ""statusCode"": ""OK"",
  ""serviceRequestId"": ""f90b410e-0343-4c4d-a139-ab680f0f2d27"",
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/tobifwprem-rg/providers/Microsoft.Network/firewallPolicies/azfwpremSEA"",
  ""message"": ""Microsoft.Network/firewallPolicies/certificates/action"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 7:42:29.164 PM","{
  ""action"": ""Microsoft.Network/firewallPolicies/certificates/action"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/tobifwprem-rg/providers/Microsoft.Network/firewallPolicies/azfwpremSEA""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/tobifwprem-rg/providers/Microsoft.Network/firewallPolicies/azfwpremSEA,fc7257fe-6026-428e-91d4-e5228b7a1856,Microsoft.Network,azfwpremSEA,2f5f8cee-3185-41a1-9688-9e58dba01535,"4/26/2021, 7:41:11.034 PM"
Generate Firewall Policy Certificates,Informational,Started,,tobifwprem-rg,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,fc7257fe-6026-428e-91d4-e5228b7a1856,617965ff-6115-47bb-9331-5764c42a0013,52.149.24.100,Administrative,"{
  ""clientRequestId"": ""73f413fc-b7fd-40ad-b90a-e7bbe21d51db"",
  ""clientIpAddress"": ""52.149.24.100"",
  ""method"": ""POST""
}","{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/tobifwprem-rg/providers/Microsoft.Network/firewallPolicies/azfwpremSEA"",
  ""message"": ""Microsoft.Network/firewallPolicies/certificates/action"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 7:42:29.164 PM","{
  ""action"": ""Microsoft.Network/firewallPolicies/certificates/action"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/tobifwprem-rg/providers/Microsoft.Network/firewallPolicies/azfwpremSEA""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/tobifwprem-rg/providers/Microsoft.Network/firewallPolicies/azfwpremSEA,fc7257fe-6026-428e-91d4-e5228b7a1856,Microsoft.Network,azfwpremSEA,159df5a0-0661-4f98-bdce-fa3d69ae4bea,"4/26/2021, 7:41:10.299 PM"
Update Incidents,Informational,Succeeded,OK (HTTP Status Code: 200),cxe-yanivsh,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,6452de02-6318-43fd-b373-6bdcfdeed182,yanivsh@buildseccxpninja.onmicrosoft.com,52.232.188.154,Administrative,"{
  ""clientRequestId"": """",
  ""clientIpAddress"": ""52.232.188.154"",
  ""method"": ""PUT""
}","{
  ""statusCode"": ""OK"",
  ""serviceRequestId"": null,
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/8a3ca8f9-d8a1-4467-8f92-1f5a2efaa7a7"",
  ""message"": ""Microsoft.SecurityInsights/incidents/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 7:48:50.152 PM","{
  ""action"": ""Microsoft.SecurityInsights/incidents/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/8a3ca8f9-d8a1-4467-8f92-1f5a2efaa7a7""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/8a3ca8f9-d8a1-4467-8f92-1f5a2efaa7a7,6452de02-6318-43fd-b373-6bdcfdeed182,Microsoft.SecurityInsights,8a3ca8f9-d8a1-4467-8f92-1f5a2efaa7a7,dc32e7e9-af7d-4a27-aca8-010ea638814f,"4/26/2021, 7:47:56.896 PM"
Update Incidents,Informational,Started,,cxe-yanivsh,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,6452de02-6318-43fd-b373-6bdcfdeed182,yanivsh@buildseccxpninja.onmicrosoft.com,52.232.188.154,Administrative,"{
  ""clientRequestId"": """",
  ""clientIpAddress"": ""52.232.188.154"",
  ""method"": ""PUT""
}","{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/8a3ca8f9-d8a1-4467-8f92-1f5a2efaa7a7"",
  ""message"": ""Microsoft.SecurityInsights/incidents/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 7:48:50.152 PM","{
  ""action"": ""Microsoft.SecurityInsights/incidents/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/8a3ca8f9-d8a1-4467-8f92-1f5a2efaa7a7""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/cxe-yanivsh/providers/Microsoft.OperationalInsights/workspaces/yanivsh-sentinel/providers/Microsoft.SecurityInsights/incidents/8a3ca8f9-d8a1-4467-8f92-1f5a2efaa7a7,6452de02-6318-43fd-b373-6bdcfdeed182,Microsoft.SecurityInsights,8a3ca8f9-d8a1-4467-8f92-1f5a2efaa7a7,dd86e150-90a1-4230-b3c1-2b6160348b32,"4/26/2021, 7:47:56.736 PM"
Creates or updates an Azure Firewall,Informational,Succeeded,,tobifwprem-rg,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,89f2d7af-86c4-4335-8164-4d942acf6567,olotolor@buildseccxpninja.onmicrosoft.com,,Administrative,,"{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/tobifwprem-rg/providers/Microsoft.Network/azureFirewalls/azfwSEA"",
  ""message"": ""Microsoft.Network/azureFirewalls/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 7:48:08.198 PM","{
  ""action"": ""Microsoft.Network/azureFirewalls/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/tobifwprem-rg/providers/Microsoft.Network/azureFirewalls/azfwSEA""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/tobifwprem-rg/providers/Microsoft.Network/azureFirewalls/azfwSEA,1115befc-b552-4a8b-a610-8145f0222d03,Microsoft.Network,azfwSEA,917b4298-1fad-41fc-aa40-7a315fce5dfd,"4/26/2021, 7:46:29.836 PM"
