"Time","Message","Severity"
"1/19/2023 7:50 AM","Clearing existing Azure connection","Information"
"1/19/2023 7:50 AM","Clearing existing Azure context 
","Information"
"1/19/2023 7:50 AM","Clearing of existing connection and context completed.","Information"
"1/19/2023 7:50 AM","
Working in Subscription: Syslog Subscription","Information"
"1/19/2023 7:50 AM","Listing Azure Logic Apps workspace from Syslog Subscription","Information"
"1/19/2023 7:50 AM","Creating ARM Template","Information"
"1/19/2023 7:50 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Testing2/providers/Microsoft.Logic/workflows/BlockAllowProcess; name=BlockAllowProcess; type=Microsoft.Logic/workflows; location=eastus; tags=}","Information"
"1/19/2023 7:50 AM","@{kind=V1; properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Testing2/providers/Microsoft.Web/connections/azuresentinel; name=azuresentinel; type=Microsoft.Web/connections; location=eastus}","Information"
"1/19/2023 7:50 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/providers/Microsoft.Web/locations/eastus/managedApis/azuresentinel; name=azuresentinel; type=Microsoft.Web/locations/managedApis; location=eastus}","Information"
"1/19/2023 7:50 AM","@{kind=V1; properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Testing2/providers/Microsoft.Web/connections/keyvault-2; name=keyvault-2; type=Microsoft.Web/connections; location=eastus}","Information"
"1/19/2023 7:50 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/providers/Microsoft.Web/locations/eastus/managedApis/keyvault; name=keyvault; type=Microsoft.Web/locations/managedApis; location=eastus}","Information"
"1/19/2023 7:50 AM","ARM Template created successfully at F:\Sentinel\Azure-Sentinel\Solutions\PCMatic SuperShield\Playbooks\BlockAllowProcess\azuredeploy.json","Information"
"1/19/2023 7:50 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Testing2/providers/Microsoft.Logic/workflows/RemoveProcess; name=RemoveProcess; type=Microsoft.Logic/workflows; location=eastus; tags=}","Information"
"1/19/2023 7:50 AM","@{kind=V1; properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Testing2/providers/Microsoft.Web/connections/azuresentinel; name=azuresentinel; type=Microsoft.Web/connections; location=eastus}","Information"
"1/19/2023 7:50 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/providers/Microsoft.Web/locations/eastus/managedApis/azuresentinel; name=azuresentinel; type=Microsoft.Web/locations/managedApis; location=eastus}","Information"
"1/19/2023 7:50 AM","@{kind=V1; properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Testing2/providers/Microsoft.Web/connections/keyvault-2; name=keyvault-2; type=Microsoft.Web/connections; location=eastus}","Information"
"1/19/2023 7:50 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/providers/Microsoft.Web/locations/eastus/managedApis/keyvault; name=keyvault; type=Microsoft.Web/locations/managedApis; location=eastus}","Information"
"1/19/2023 7:50 AM","ARM Template created successfully at F:\Sentinel\Azure-Sentinel\Solutions\PCMatic SuperShield\Playbooks\RemoveProcess\azuredeploy.json","Information"
