Cmdlet,UserOriented,RestrictToParameter,Parameters,SpecificValue
Add-Adpermission,Yes,,,
Add-MailboxFolderPermission,Yes,,,
Add-MailboxPermission,Yes,,,
Add-remoteDomain,,Yes,-AutoForwardEnabled, $true
Set-remoteDomain,,Yes,-AutoForwardEnabled, $true
Add-RoleGroupMember,Yes,,,
Dismount-Database,,,,
Install-TransportAgent,,,,
New-AdminAuditLogSearch,,,,
New-JournalRule,,,,
New-MailboxAuditLogSearch,,,,
New-MailboxExportRequest,Yes,,,
New-MailboxSearch,,,,
New-ManagementRole,,,,
New-ManagementRoleAssignment,,,,
Set-ManagementRole,,,,
Set-ManagementRoleAssignment,,,,
Remove-ManagementRole,,,,
Remove-ManagementRoleAssignment,,,,
New-RemoteDomain,,,,
New-RoleGroup,,,,
New-TransportRule,,Yes,-RedirectMessage;-CopyTo;-BlindCopyTo,
Redirect-Message,,,,
Remove-ADPermission,Yes,,,
Search-AdminAuditLog,,,,
Search-Mailbox,Yes,,,
Search-MailboxAuditLog,Yes,,,
Set-ActiveSyncvirtualdirectory,,Yes,-BasicAuthEnabled;-WindowsAuthEnabled;-ClientCertAuth;-InternalAuthenticationMethods;-ExternalAuthenticationMethods,
Set-adminauditlogconfig,,,,
Set-JournalRule,,,,
Set-mailbox,Yes,Yes,-AuditEnabled;-AuditLogAgeLimit;-AuditAdmin;-AuditDelegate;-AuditDelegate;-AuditOwner;-ForwardingAddress;-ForwardingSmtpAddress;-DeliverToMailboxAndForward;-GrantSendOnBehalfTo,
Set-MailboxAuditBypassAssociation,Yes,,,
Set-MailboxDatabase,,,,
Set-mailboxdatabase,,Yes,-JournalRecipient,
Set-MailboxFolderPermission,Yes,,,
Set-MailboxSearch,Yes,,,
Set-owavirtualdirectory,,Yes,-InternalAuthenticationMethods;-BasicAuthentication;-WindowsAuthentication;-DigestAuthentication;-FormsAuthentication;-LiveIdAuthentication;-AdfsAuthentication;-OAuthAuthentication;-ExternalAuthenticationMethods,
set-RemoteDomain,,,,
Set-TransportConfig,,,,
Set-TransportRule,,Yes,-RedirectMessage;-CopyTo;-BlindCopyTo;SentTo,
Set-TransportServer,,Yes,-PipelineTracingEnabled,
Set-TransportService,,Yes,-PipelineTracingEnabled,
Suspend-MailboxDatabaseCopy,,,,
Update-RoleGroupMember,Yes,,,
New-ExchangeCertificate,,,,
Import-ExchangeCertificate,,,,
Enable-ExchangeCertificate,,,,
Set-MapiVirtualDirectory,,Yes,-IISAuthenticationMethods;-InternalAuthenticationMethods;-ExternalAuthenticationMethods,
New-OabVirtualDirectory,,,,
Set-OabVirtualDirectory,,,,
Set-WebServicesVirtualDirectory,,Yes,-BasicAuthentication,
