Name,Role,RoleAssigneeName,EffectiveUserName,RoleAssigneeType,CustomRecipientWriteScope,CustomConfigWriteScope,RecipientReadScope,ConfigReadScope,RecipientWriteScope,ConfigWriteScope,AssignmentMethod
Address Lists-Organization Management-Delegating,Address Lists,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Application Calendars.Read-Organization Management-Delegating,Application Calendars.Read,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application Calendars.ReadWrite-Organization Management-Delegati,Application Calendars.ReadWrite,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application Contacts.Read-Organization Management-Delegating,Application Contacts.Read,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application Contacts.ReadWrite-Organization Management-Delegatin,Application Contacts.ReadWrite,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application EWS.AccessAsApp-Organization Management-Delegating,Application EWS.AccessAsApp,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application Exchange Full Access-Organization Management-Delegat,Application Exchange Full Access,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application Mail Full Access-Organization Management-Delegating,Application Mail Full Access,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application Mail.Read-Organization Management-Delegating,Application Mail.Read,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application Mail.ReadBasic-Organization Management-Delegating,Application Mail.ReadBasic,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application Mail.ReadWrite-Organization Management-Delegating,Application Mail.ReadWrite,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application Mail.Send-Organization Management-Delegating,Application Mail.Send,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application MailboxSettings.Read-Organization Management-Delegat,Application MailboxSettings.Read,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Application MailboxSettings.ReadWrite-Organization Management-De,Application MailboxSettings.ReadWrite,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
ApplicationImpersonation-Organization Management-Delegating,ApplicationImpersonation,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
ApplicationImpersonation-RIM-MailboxAdminscc5e64999db94ccba09208,ApplicationImpersonation,RIM-MailboxAdminscc5e64999db94ccba09208f0387dfd74,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
ArchiveApplication-Organization Management-Delegating,ArchiveApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Audit Logs-Compliance Management,Audit Logs,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Audit Logs-Organization Management,Audit Logs,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Audit Logs-Organization Management-Delegating,Audit Logs,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Audit Logs-Records Management,Audit Logs,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Communication Compliance Admin-Communication Compliance,Communication Compliance Admin,Communication Compliance,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Communication Compliance Admin-Communication Compliance Administ,Communication Compliance Admin,Communication Compliance Administrators,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Communication Compliance Admin-Compliance Administrator,Communication Compliance Admin,Compliance Administrator,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Communication Compliance Admin-Organization Management,Communication Compliance Admin,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Communication Compliance Investigation-Communication Compliance,Communication Compliance Investigation,Communication Compliance,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Communication Compliance Investigation-Organization Management,Communication Compliance Investigation,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Compliance Admin-Compliance Management,Compliance Admin,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Compliance Admin-Organization Management,Compliance Admin,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Compliance Admin-Organization Management-Delegating,Compliance Admin,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Data Loss Prevention-Compliance Management,Data Loss Prevention,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Data Loss Prevention-Organization Management,Data Loss Prevention,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Data Loss Prevention-Organization Management-Delegating,Data Loss Prevention,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Distribution Groups-Organization Management,Distribution Groups,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Distribution Groups-Organization Management-Delegating,Distribution Groups,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Distribution Groups-Recipient Management,Distribution Groups,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
E-Mail Address Policies-Organization Management,E-Mail Address Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
E-Mail Address Policies-Organization Management-Delegating,E-Mail Address Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Federated Sharing-Organization Management,Federated Sharing,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Federated Sharing-Organization Management-Delegating,Federated Sharing,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Information Protection Admin-Information Protection,Information Protection Admin,Information Protection,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Admin-Information Protection Admins,Information Protection Admin,Information Protection Admins,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Admin-Organization Management,Information Protection Admin,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Analyst-Information Protection,Information Protection Analyst,Information Protection,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Analyst-Information Protection Analysts,Information Protection Analyst,Information Protection Analysts,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Analyst-Organization Management,Information Protection Analyst,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Investigator-Information Protection,Information Protection Investigator,Information Protection,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Investigator-Information Protection Inves,Information Protection Investigator,Information Protection Investigators,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Investigator-Organization Management,Information Protection Investigator,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Reader-Information Protection,Information Protection Reader,Information Protection,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Reader-Information Protection Readers,Information Protection Reader,Information Protection Readers,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Protection Reader-Organization Management,Information Protection Reader,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Information Rights Management-Compliance Management,Information Rights Management,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Information Rights Management-Organization Management,Information Rights Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Information Rights Management-Organization Management-Delegating,Information Rights Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Insider Risk Management Admin-Compliance Administrator,Insider Risk Management Admin,Compliance Administrator,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Insider Risk Management Admin-Insider Risk Management,Insider Risk Management Admin,Insider Risk Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Insider Risk Management Admin-Insider Risk Management Admins,Insider Risk Management Admin,Insider Risk Management Admins,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
