"TableName","ContentType","Name","ResourceId"
"InformationProtectionLogs_CL","AnalyticsRules","(Preview) Insider Risk - Sensitive Data Access Outside Organizational Geo-location","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/providers/Microsoft.SecurityInsights/alertRules/7095f693-067a-4c25-a9cf-dbe0525d1cad"
"InformationProtectionLogs_CL","HuntingQueries","M2131_RecommendedDatatableNotLogged_EL0","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/maturitymodelforeventlogmanagementm2131 hunting query 1"
"InformationProtectionLogs_CL","HuntingQueries","M2131_RecommendedDatatableNotLogged_EL1","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/maturitymodelforeventlogmanagementm2131 hunting query 2"
"InformationProtectionLogs_CL","HuntingQueries","M2131_RecommendedDatatableNotLogged_EL2","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/maturitymodelforeventlogmanagementm2131 hunting query 3"
"InformationProtectionLogs_CL","HuntingQueries","M2131_RecommendedDatatableNotLogged_EL3","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/maturitymodelforeventlogmanagementm2131 hunting query 4"
"InformationProtectionLogs_CL","HuntingQueries","Insider Risk - Sign In Risk Followed By Sensitive Data Access","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/microsoftinsiderriskmanagement hunting query 5"
"InformationProtectionLogs_CL","Parsers","InformationProtectionEvents","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/7ef776a5-7df4-498f-aafc-a4a5920dce2e"
"InformationProtectionLogs_CL","SavedSearches","M2131_RecommendedDatatableNotLogged_EL0","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/d75d47d2-0b65-4d4e-8b7b-ee45501cee44"
"AzureNetworkAnalytics_CL","Parsers","ASimNetworkSessionAzureNSG","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/asimnetworksessionazurensg"
"AzureNetworkAnalytics_CL","Parsers","vimNetworkSessionAzureNSG","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/vimnetworksessionazurensg"
