"Name","TableType","TableSubType","Plan","RetentionInDays","TotalRetention","ColumnCount","ResourceId"
"ServiceMapComputer_CL","CustomLog","Classic","Analytics","180","180","48","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ServiceMapComputer_CL"
"ServiceMapProcess_CL","CustomLog","Classic","Analytics","180","730","22","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ServiceMapProcess_CL"
"Users_CL","CustomLog","Classic","Analytics","365","365","26","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/Users_CL"
"InformationProtectionLogs_CL","CustomLog","Classic","Analytics","365","365","35","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/InformationProtectionLogs_CL"
"AWS_ALL_CL","CustomLog","Classic","Analytics","365","365","39","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/AWS_ALL_CL"
"AWS_health_CL","CustomLog","Classic","Analytics","180","730","25","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/AWS_health_CL"
"AWS_cloudtrail_CL","CustomLog","Classic","Analytics","365","365","29","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/AWS_cloudtrail_CL"
"AWS_organizations_CL","CustomLog","Classic","Analytics","365","365","23","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/AWS_organizations_CL"
"AWS_sts_CL","CustomLog","Classic","Analytics","365","365","32","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/AWS_sts_CL"
"AWS_signin_CL","CustomLog","Classic","Analytics","365","365","22","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/AWS_signin_CL"
"AWS_accessanalyzer_CL","CustomLog","Classic","Analytics","365","365","23","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/AWS_accessanalyzer_CL"
"M365SecureScore_CL","CustomLog","Classic","Analytics","365","365","13","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/M365SecureScore_CL"
"M365SecureScoreControls_CL","CustomLog","Classic","Analytics","365","365","17","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/M365SecureScoreControls_CL"
"MDfESecureScore_CL","CustomLog","Classic","Analytics","365","365","4","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/MDfESecureScore_CL"
"MDfEExposureScore_CL","CustomLog","Classic","Analytics","365","365","4","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/MDfEExposureScore_CL"
"MDfERecommendations_CL","CustomLog","Classic","Analytics","365","365","27","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/MDfERecommendations_CL"
"MDfEVulnerabilitiesList_CL","CustomLog","Classic","Analytics","365","365","20","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/MDfEVulnerabilitiesList_CL"
"AzureNetworkAnalytics_CL","CustomLog","Classic","Analytics","180","730","175","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/AzureNetworkAnalytics_CL"
"AzureNetworkAnalyticsIPDetails_CL","CustomLog","Classic","Analytics","365","365","17","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/AzureNetworkAnalyticsIPDetails_CL"
"AzSentinelMITRE_CL","CustomLog","Classic","Analytics","365","365","22","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/AzSentinelMITRE_CL"
"MSFTAlerts_CL","CustomLog","Classic","Analytics","180","730","7","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/MSFTAlerts_CL"
"onelogin_CL","CustomLog","Classic","Analytics","180","730","12","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/onelogin_CL"
"GitHubRepoLogs_CL","CustomLog","Classic","Analytics","365","365","100","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/GitHubRepoLogs_CL"
"ABAPAuditLog_CL","CustomLog","Classic","Analytics","365","900","28","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAPAuditLog_CL"
"ABAPChangeDocsLog_CL","CustomLog","Classic","Analytics","365","900","33","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAPChangeDocsLog_CL"
"ABAPCRLog_CL","CustomLog","Classic","Analytics","365","900","16","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAPCRLog_CL"
"ABAPJobLog_CL","CustomLog","Classic","Analytics","365","900","33","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAPJobLog_CL"
"MCASActivity_CL","CustomLog","Classic","Analytics","365","365","250","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/MCASActivity_CL"
"VTURLReport_CL","CustomLog","Classic","Analytics","365","365","12","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/VTURLReport_CL"
"GitHubAuditLogPolling_CL","CustomLog","Classic","Analytics","365","365","17","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/GitHubAuditLogPolling_CL"
"McAfee_ePO_CL","CustomLog","Classic","Analytics","365","365","164","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/McAfee_ePO_CL"
"MDE_TVM_PublicExploits_CL","CustomLog","Classic","Analytics","365","365","21","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/MDE_TVM_PublicExploits_CL"
"GeoIP_CL","CustomLog","Classic","Analytics","365","365","30","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/GeoIP_CL"
"BasicIngestion_CL","CustomLog","Classic","Analytics","365","365","0","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/BasicIngestion_CL"
"TomcatIngestion_CL","CustomLog","Classic","Analytics","365","365","0","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/TomcatIngestion_CL"
"DHCP_CL","CustomLog","Classic","Analytics","365","365","0","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/DHCP_CL"
"CTOD_CL","CustomLog","Classic","Analytics","365","365","170","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/CTOD_CL"
"ABAP_AGR_TCODES_CL","CustomLog","Classic","Analytics","365","365","10","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_AGR_TCODES_CL"
"ABAP_USR01_CL","CustomLog","Classic","Analytics","365","365","20","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_USR01_CL"
"ABAP_USR02_CL","CustomLog","Classic","Analytics","365","365","39","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_USR02_CL"
"ABAP_AGR_1251_CL","CustomLog","Classic","Analytics","90","2556","16","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_AGR_1251_CL"
"ABAP_AGR_USERS_CL","CustomLog","Classic","Analytics","365","365","13","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_AGR_USERS_CL"
"SAP_HeartBeat_CL","CustomLog","Classic","Analytics","365","365","11","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/SAP_HeartBeat_CL"
"ABAP_AGR_PROF_CL","CustomLog","Classic","Analytics","365","365","7","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_AGR_PROF_CL"
"ABAP_UST04_CL","CustomLog","Classic","Analytics","365","365","5","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_UST04_CL"
