"TableName","SolutionName","IsInstalled","IsInContentHub","GithubUrl"
"onelogin_CL","OneLoginIAM","False","False","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/OneLoginIAM"
"ABAPAuditLog_CL","Onapsis Defend","False","False","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Onapsis%20Defend"
"ABAPAuditLog_CL","Pathlock_TDnR","False","False","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Pathlock_TDnR"
"ABAPAuditLog_CL","SAP S4 Cloud Public Edition","False","False","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SAP%20S4%20Cloud%20Public%20Edition"
"ABAPAuditLog_CL","SecurityBridge App","False","False","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SecurityBridge%20App"
"GitHubAuditLogPolling_CL","GitHub","False","False","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/GitHub"
"SecurityEvent_CL","Cyborg Security HUNTER","False","False","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Cyborg%20Security%20HUNTER"
"SecurityEvent_CL","Microsoft Exchange Security - Exchange On-Premises","False","False","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20On-Premises"
"SecurityEvent_CL","Semperis Directory Services Protector","False","True","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Semperis%20Directory%20Services%20Protector"
"SecurityEvent_CL","Windows Security Events","False","True","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Windows%20Security%20Events"
"NetskopeWebtxErrors_CL","Netskopev2","False","False","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Netskopev2"
"NetskopeWebtxData_CL","Netskopev2","False","False","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Netskopev2"
